indel_type	indelvar	acmg_points	bin
deletion	0.944	2	PP3_+2
deletion	0.485	0	No-evidence
deletion	0.875	1	PP3_+1
deletion	0.656	0	No-evidence
deletion	0.323	-1	BP4_-1
deletion	0.178	-2	BP4_-2
deletion	0.148	-2	BP4_-2
deletion	0.211	-2	BP4_-2
deletion	0.194	-2	BP4_-2
deletion	0.869	1	PP3_+1
deletion	0.215	-2	BP4_-2
deletion	0.933	2	PP3_+2
deletion	0.724	0	No-evidence
deletion	0.014	-4	BP4_-4
deletion	0.056	-2	BP4_-2
deletion	0.015	-4	BP4_-4
deletion	0.234	-2	BP4_-2
deletion	0.943	2	PP3_+2
deletion	0.999	3	PP3_+3
deletion	0.715	0	No-evidence
deletion	0.744	1	PP3_+1
deletion	0.259	-1	BP4_-1
deletion	0.975	3	PP3_+3
deletion	0.961	3	PP3_+3
deletion	0.832	1	PP3_+1
deletion	0.922	2	PP3_+2
deletion	0.958	3	PP3_+3
deletion	0.136	-2	BP4_-2
deletion	0.095	-2	BP4_-2
deletion	0.131	-2	BP4_-2
deletion	0.348	0	No-evidence
deletion	0.251	-2	BP4_-2
deletion	0.311	-1	BP4_-1
deletion	0.191	-2	BP4_-2
deletion	0.781	1	PP3_+1
deletion	0.98	3	PP3_+3
deletion	0.459	0	No-evidence
deletion	0.088	-2	BP4_-2
deletion	0.977	3	PP3_+3
deletion	0.639	0	No-evidence
deletion	0.83	1	PP3_+1
deletion	0.232	-2	BP4_-2
deletion	0.926	2	PP3_+2
deletion	0.968	3	PP3_+3
deletion	0.143	-2	BP4_-2
deletion	0.234	-2	BP4_-2
deletion	0.038	-3	BP4_-3
deletion	0.254	-2	BP4_-2
deletion	0.916	2	PP3_+2
deletion	0.924	2	PP3_+2
deletion	0.725	0	No-evidence
deletion	0.153	-2	BP4_-2
deletion	0.042	-2	BP4_-2
deletion	0.728	1	PP3_+1
deletion	0.648	0	No-evidence
deletion	0.882	1	PP3_+1
deletion	0.798	1	PP3_+1
deletion	0.788	1	PP3_+1
deletion	0.312	-1	BP4_-1
deletion	0.092	-2	BP4_-2
deletion	0.167	-2	BP4_-2
deletion	0.447	0	No-evidence
deletion	0.951	2	PP3_+2
deletion	0.142	-2	BP4_-2
deletion	0.07	-2	BP4_-2
deletion	0.084	-2	BP4_-2
deletion	0.017	-4	BP4_-4
deletion	0.013	-4	BP4_-4
deletion	0.06	-2	BP4_-2
deletion	0.003	-4	BP4_-4
deletion	0.023	-4	BP4_-4
deletion	0.93	2	PP3_+2
deletion	0.34	0	No-evidence
deletion	0.381	0	No-evidence
deletion	0.303	-1	BP4_-1
deletion	0.308	-1	BP4_-1
deletion	0.175	-2	BP4_-2
deletion	0.248	-2	BP4_-2
deletion	0.127	-2	BP4_-2
deletion	0.082	-2	BP4_-2
deletion	0.805	1	PP3_+1
deletion	0.846	1	PP3_+1
deletion	0.849	1	PP3_+1
deletion	0.517	0	No-evidence
deletion	0.777	1	PP3_+1
deletion	0.867	1	PP3_+1
deletion	0.679	0	No-evidence
deletion	0.189	-2	BP4_-2
deletion	0.611	0	No-evidence
deletion	0.824	1	PP3_+1
deletion	0.587	0	No-evidence
deletion	0.83	1	PP3_+1
deletion	0.339	0	No-evidence
deletion	0.153	-2	BP4_-2
deletion	0.127	-2	BP4_-2
deletion	0.689	0	No-evidence
deletion	0.753	1	PP3_+1
deletion	0.366	0	No-evidence
deletion	0.94	2	PP3_+2
deletion	0.976	3	PP3_+3
deletion	0.546	0	No-evidence
deletion	0.888	1	PP3_+1
deletion	0.969	3	PP3_+3
deletion	0.952	2	PP3_+2
deletion	0.431	0	No-evidence
deletion	0.238	-2	BP4_-2
deletion	0.15	-2	BP4_-2
deletion	0.114	-2	BP4_-2
deletion	0.072	-2	BP4_-2
deletion	0.166	-2	BP4_-2
deletion	0.258	-2	BP4_-2
deletion	0.217	-2	BP4_-2
deletion	0.843	1	PP3_+1
deletion	0.546	0	No-evidence
deletion	0.836	1	PP3_+1
deletion	0.822	1	PP3_+1
deletion	0.9	1	PP3_+1
deletion	0.896	1	PP3_+1
deletion	0.493	0	No-evidence
deletion	0.887	1	PP3_+1
deletion	0.932	2	PP3_+2
deletion	0.941	2	PP3_+2
deletion	0.958	3	PP3_+3
deletion	0.7	0	No-evidence
deletion	0.254	-2	BP4_-2
deletion	0.971	3	PP3_+3
deletion	0.931	2	PP3_+2
deletion	0.138	-2	BP4_-2
deletion	0.21	-2	BP4_-2
deletion	0.1	-2	BP4_-2
deletion	0.149	-2	BP4_-2
deletion	0.091	-2	BP4_-2
deletion	0.343	0	No-evidence
deletion	0.657	0	No-evidence
deletion	0.602	0	No-evidence
deletion	0.176	-2	BP4_-2
deletion	0.348	0	No-evidence
deletion	0.977	3	PP3_+3
deletion	0.955	2	PP3_+2
deletion	0.937	2	PP3_+2
deletion	0.11	-2	BP4_-2
deletion	0.092	-2	BP4_-2
deletion	0.95	2	PP3_+2
deletion	0.819	1	PP3_+1
deletion	0.406	0	No-evidence
deletion	0.176	-2	BP4_-2
deletion	0.178	-2	BP4_-2
deletion	0.144	-2	BP4_-2
deletion	0.003	-4	BP4_-4
deletion	0.139	-2	BP4_-2
deletion	0.139	-2	BP4_-2
deletion	0.027	-3	BP4_-3
deletion	0.166	-2	BP4_-2
deletion	0.116	-2	BP4_-2
deletion	0.17	-2	BP4_-2
deletion	0.212	-2	BP4_-2
deletion	0.269	-1	BP4_-1
deletion	0.552	0	No-evidence
deletion	0.06	-2	BP4_-2
deletion	0.075	-2	BP4_-2
deletion	0.089	-2	BP4_-2
deletion	0.465	0	No-evidence
deletion	0.114	-2	BP4_-2
deletion	0.185	-2	BP4_-2
deletion	0.083	-2	BP4_-2
deletion	0.119	-2	BP4_-2
deletion	0.183	-2	BP4_-2
deletion	0.096	-2	BP4_-2
deletion	0.007	-4	BP4_-4
deletion	0.095	-2	BP4_-2
deletion	0.202	-2	BP4_-2
deletion	0.181	-2	BP4_-2
deletion	0.205	-2	BP4_-2
deletion	0.225	-2	BP4_-2
deletion	0.211	-2	BP4_-2
deletion	0.224	-2	BP4_-2
deletion	0.379	0	No-evidence
deletion	0.867	1	PP3_+1
deletion	0.762	1	PP3_+1
deletion	0.786	1	PP3_+1
deletion	0.844	1	PP3_+1
deletion	0.657	0	No-evidence
deletion	0.291	-1	BP4_-1
deletion	0.504	0	No-evidence
deletion	0.287	-1	BP4_-1
deletion	0.097	-2	BP4_-2
deletion	0.213	-2	BP4_-2
deletion	0.927	2	PP3_+2
deletion	0.015	-4	BP4_-4
deletion	0.012	-4	BP4_-4
deletion	0.013	-4	BP4_-4
deletion	0.001	-4	BP4_-4
deletion	0.002	-4	BP4_-4
deletion	0.016	-4	BP4_-4
deletion	0.017	-4	BP4_-4
deletion	0.003	-4	BP4_-4
deletion	0.226	-2	BP4_-2
deletion	0.857	1	PP3_+1
deletion	0.021	-4	BP4_-4
deletion	0.136	-2	BP4_-2
deletion	0.023	-4	BP4_-4
deletion	0.103	-2	BP4_-2
deletion	0.106	-2	BP4_-2
deletion	0.016	-4	BP4_-4
deletion	0.023	-4	BP4_-4
deletion	0.684	0	No-evidence
deletion	0.233	-2	BP4_-2
deletion	0.861	1	PP3_+1
deletion	0.928	2	PP3_+2
deletion	0.719	0	No-evidence
deletion	0.774	1	PP3_+1
deletion	0.641	0	No-evidence
deletion	0.366	0	No-evidence
deletion	0.765	1	PP3_+1
deletion	0.969	3	PP3_+3
deletion	0.952	2	PP3_+2
deletion	0.984	3	PP3_+3
deletion	0.888	1	PP3_+1
deletion	0.855	1	PP3_+1
deletion	0.946	2	PP3_+2
deletion	0.94	2	PP3_+2
deletion	0.165	-2	BP4_-2
deletion	0.89	1	PP3_+1
deletion	0.946	2	PP3_+2
deletion	0.22	-2	BP4_-2
deletion	0.119	-2	BP4_-2
deletion	0.094	-2	BP4_-2
deletion	0.088	-2	BP4_-2
deletion	0.13	-2	BP4_-2
deletion	0.125	-2	BP4_-2
deletion	0.128	-2	BP4_-2
deletion	0.099	-2	BP4_-2
deletion	0.136	-2	BP4_-2
deletion	0.101	-2	BP4_-2
deletion	0.127	-2	BP4_-2
deletion	0.118	-2	BP4_-2
deletion	0.067	-2	BP4_-2
deletion	0.975	3	PP3_+3
deletion	0.025	-4	BP4_-4
deletion	0.104	-2	BP4_-2
deletion	0.212	-2	BP4_-2
deletion	0.968	3	PP3_+3
deletion	0.92	2	PP3_+2
deletion	0.624	0	No-evidence
deletion	0.802	1	PP3_+1
deletion	0.736	1	PP3_+1
deletion	0.87	1	PP3_+1
deletion	0.737	1	PP3_+1
deletion	0.905	1	PP3_+1
deletion	0.61	0	No-evidence
deletion	0.258	-2	BP4_-2
deletion	0.701	0	No-evidence
deletion	0.66	0	No-evidence
deletion	0.226	-2	BP4_-2
deletion	0.186	-2	BP4_-2
deletion	0.902	1	PP3_+1
deletion	0.014	-4	BP4_-4
deletion	0.876	1	PP3_+1
deletion	0.874	1	PP3_+1
deletion	0.346	0	No-evidence
deletion	0.91	1	PP3_+1
deletion	0.959	3	PP3_+3
deletion	0.768	1	PP3_+1
deletion	0.98	3	PP3_+3
deletion	0.731	1	PP3_+1
deletion	0.957	3	PP3_+3
deletion	0.888	1	PP3_+1
deletion	0.964	3	PP3_+3
deletion	0.285	-1	BP4_-1
deletion	0.315	-1	BP4_-1
deletion	0.951	2	PP3_+2
deletion	0.705	0	No-evidence
deletion	0.429	0	No-evidence
deletion	0.094	-2	BP4_-2
deletion	0.889	1	PP3_+1
deletion	0.694	0	No-evidence
deletion	0.82	1	PP3_+1
deletion	0.831	1	PP3_+1
deletion	0.031	-3	BP4_-3
deletion	0.127	-2	BP4_-2
deletion	0.077	-2	BP4_-2
deletion	0.189	-2	BP4_-2
deletion	0.144	-2	BP4_-2
deletion	0.17	-2	BP4_-2
deletion	0.958	3	PP3_+3
deletion	0.988	3	PP3_+3
deletion	0.928	2	PP3_+2
deletion	0.876	1	PP3_+1
deletion	0.948	2	PP3_+2
deletion	0.048	-2	BP4_-2
deletion	0.01	-4	BP4_-4
deletion	0.166	-2	BP4_-2
deletion	0.136	-2	BP4_-2
deletion	0.167	-2	BP4_-2
deletion	0.054	-2	BP4_-2
deletion	0.054	-2	BP4_-2
deletion	0.04	-3	BP4_-3
deletion	0.053	-2	BP4_-2
deletion	0.042	-2	BP4_-2
deletion	0.056	-2	BP4_-2
deletion	0.066	-2	BP4_-2
deletion	0.05	-2	BP4_-2
deletion	0.164	-2	BP4_-2
deletion	0.556	0	No-evidence
deletion	0.784	1	PP3_+1
deletion	0.616	0	No-evidence
deletion	0.496	0	No-evidence
deletion	0.663	0	No-evidence
deletion	0.694	0	No-evidence
deletion	0.249	-2	BP4_-2
deletion	0.552	0	No-evidence
deletion	0.626	0	No-evidence
deletion	0.722	0	No-evidence
deletion	0.988	3	PP3_+3
deletion	0.987	3	PP3_+3
deletion	0.275	-1	BP4_-1
deletion	0.866	1	PP3_+1
deletion	0.152	-2	BP4_-2
deletion	0.891	1	PP3_+1
deletion	0.876	1	PP3_+1
deletion	0.526	0	No-evidence
deletion	0.046	-2	BP4_-2
deletion	0.619	0	No-evidence
deletion	0.191	-2	BP4_-2
deletion	0.11	-2	BP4_-2
deletion	0.047	-2	BP4_-2
deletion	0.072	-2	BP4_-2
deletion	0.094	-2	BP4_-2
deletion	0.352	0	No-evidence
deletion	0.53	0	No-evidence
deletion	0.034	-3	BP4_-3
deletion	0.162	-2	BP4_-2
deletion	0.269	-1	BP4_-1
deletion	0.973	3	PP3_+3
deletion	0.939	2	PP3_+2
deletion	0.949	2	PP3_+2
deletion	0.961	3	PP3_+3
deletion	0.926	2	PP3_+2
deletion	0.665	0	No-evidence
deletion	0.823	1	PP3_+1
deletion	0.241	-2	BP4_-2
deletion	0.83	1	PP3_+1
deletion	0.246	-2	BP4_-2
deletion	0.231	-2	BP4_-2
deletion	0.217	-2	BP4_-2
deletion	0.014	-4	BP4_-4
deletion	0.023	-4	BP4_-4
deletion	0.345	0	No-evidence
deletion	0.091	-2	BP4_-2
deletion	0.159	-2	BP4_-2
deletion	0.162	-2	BP4_-2
deletion	0.952	2	PP3_+2
deletion	0.318	-1	BP4_-1
deletion	0.984	3	PP3_+3
deletion	0.266	-1	BP4_-1
deletion	0.902	1	PP3_+1
deletion	0.974	3	PP3_+3
deletion	0.56	0	No-evidence
deletion	0.016	-4	BP4_-4
deletion	0.047	-2	BP4_-2
deletion	0.04	-3	BP4_-3
deletion	0.036	-3	BP4_-3
deletion	0.065	-2	BP4_-2
deletion	0.153	-2	BP4_-2
deletion	0.207	-2	BP4_-2
deletion	0.18	-2	BP4_-2
deletion	0.084	-2	BP4_-2
deletion	0.234	-2	BP4_-2
deletion	0.436	0	No-evidence
deletion	0.252	-2	BP4_-2
deletion	0.626	0	No-evidence
deletion	0.337	0	No-evidence
deletion	0.365	0	No-evidence
deletion	0.353	0	No-evidence
deletion	0.865	1	PP3_+1
deletion	0.825	1	PP3_+1
deletion	0.205	-2	BP4_-2
deletion	0.042	-2	BP4_-2
deletion	0.097	-2	BP4_-2
deletion	0.222	-2	BP4_-2
deletion	0.282	-1	BP4_-1
deletion	0.554	0	No-evidence
deletion	0.669	0	No-evidence
deletion	0.286	-1	BP4_-1
deletion	0.9	1	PP3_+1
deletion	0.898	1	PP3_+1
deletion	0.949	2	PP3_+2
deletion	0.188	-2	BP4_-2
deletion	0.294	-1	BP4_-1
deletion	0.104	-2	BP4_-2
deletion	0.264	-1	BP4_-1
deletion	0.255	-2	BP4_-2
deletion	0.251	-2	BP4_-2
deletion	0.989	3	PP3_+3
deletion	0.845	1	PP3_+1
deletion	0.714	0	No-evidence
deletion	0.984	3	PP3_+3
deletion	0.999	3	PP3_+3
deletion	0.842	1	PP3_+1
deletion	0.42	0	No-evidence
deletion	0.335	0	No-evidence
deletion	0.059	-2	BP4_-2
deletion	0.06	-2	BP4_-2
deletion	0.057	-2	BP4_-2
deletion	0.053	-2	BP4_-2
deletion	0.064	-2	BP4_-2
deletion	0.035	-3	BP4_-3
deletion	0.035	-3	BP4_-3
deletion	0.059	-2	BP4_-2
deletion	0.032	-3	BP4_-3
deletion	0.997	3	PP3_+3
deletion	0.874	1	PP3_+1
deletion	0.81	1	PP3_+1
deletion	0.361	0	No-evidence
deletion	0.847	1	PP3_+1
deletion	0.852	1	PP3_+1
deletion	0.897	1	PP3_+1
deletion	0.859	1	PP3_+1
deletion	0.243	-2	BP4_-2
deletion	0.287	-1	BP4_-1
deletion	0.454	0	No-evidence
deletion	0.941	2	PP3_+2
deletion	0.064	-2	BP4_-2
deletion	0.496	0	No-evidence
deletion	0.877	1	PP3_+1
deletion	0.928	2	PP3_+2
deletion	0.453	0	No-evidence
deletion	0.234	-2	BP4_-2
deletion	0.385	0	No-evidence
deletion	0.815	1	PP3_+1
deletion	0.997	3	PP3_+3
deletion	0.177	-2	BP4_-2
deletion	0.016	-4	BP4_-4
deletion	0.039	-3	BP4_-3
deletion	0.168	-2	BP4_-2
deletion	0.367	0	No-evidence
deletion	0.152	-2	BP4_-2
deletion	0.142	-2	BP4_-2
deletion	0.215	-2	BP4_-2
deletion	0.029	-3	BP4_-3
deletion	0.019	-4	BP4_-4
deletion	0.062	-2	BP4_-2
deletion	0.625	0	No-evidence
deletion	0.149	-2	BP4_-2
deletion	0.041	-2	BP4_-2
deletion	0.173	-2	BP4_-2
deletion	0.836	1	PP3_+1
deletion	0.606	0	No-evidence
deletion	0.937	2	PP3_+2
deletion	0.185	-2	BP4_-2
deletion	0.167	-2	BP4_-2
deletion	0.144	-2	BP4_-2
deletion	0.222	-2	BP4_-2
deletion	0.23	-2	BP4_-2
deletion	0.395	0	No-evidence
deletion	0.354	0	No-evidence
deletion	0.154	-2	BP4_-2
deletion	0.212	-2	BP4_-2
deletion	0.22	-2	BP4_-2
deletion	0.219	-2	BP4_-2
deletion	0.094	-2	BP4_-2
deletion	0.314	-1	BP4_-1
deletion	0.263	-1	BP4_-1
deletion	0.292	-1	BP4_-1
deletion	0.27	-1	BP4_-1
deletion	0.268	-1	BP4_-1
deletion	0.164	-2	BP4_-2
deletion	0.93	2	PP3_+2
deletion	0.942	2	PP3_+2
deletion	0.984	3	PP3_+3
deletion	0.973	3	PP3_+3
deletion	0.99	3	PP3_+3
deletion	0.899	1	PP3_+1
deletion	0.941	2	PP3_+2
deletion	0.967	3	PP3_+3
deletion	0.923	2	PP3_+2
deletion	0.369	0	No-evidence
deletion	0.147	-2	BP4_-2
deletion	0.892	1	PP3_+1
deletion	0.845	1	PP3_+1
deletion	0.194	-2	BP4_-2
deletion	0.59	0	No-evidence
deletion	0.261	-1	BP4_-1
deletion	0.666	0	No-evidence
deletion	0.509	0	No-evidence
deletion	0.752	1	PP3_+1
deletion	0.8	1	PP3_+1
deletion	0.803	1	PP3_+1
deletion	0.764	1	PP3_+1
deletion	0.041	-2	BP4_-2
deletion	0.16	-2	BP4_-2
deletion	0.244	-2	BP4_-2
deletion	0.953	2	PP3_+2
deletion	0.43	0	No-evidence
deletion	0.857	1	PP3_+1
deletion	0.844	1	PP3_+1
deletion	0.838	1	PP3_+1
deletion	0.841	1	PP3_+1
deletion	0.767	1	PP3_+1
deletion	0.693	0	No-evidence
deletion	0.833	1	PP3_+1
deletion	0.793	1	PP3_+1
deletion	0.873	1	PP3_+1
deletion	0.656	0	No-evidence
deletion	0.817	1	PP3_+1
deletion	0.657	0	No-evidence
deletion	0.619	0	No-evidence
deletion	0.408	0	No-evidence
deletion	0.525	0	No-evidence
deletion	0.17	-2	BP4_-2
deletion	0.066	-2	BP4_-2
deletion	0.072	-2	BP4_-2
deletion	0.1	-2	BP4_-2
deletion	0.055	-2	BP4_-2
deletion	0.052	-2	BP4_-2
deletion	0.104	-2	BP4_-2
deletion	0.042	-2	BP4_-2
deletion	0.034	-3	BP4_-3
deletion	0.037	-3	BP4_-3
deletion	0.039	-3	BP4_-3
deletion	0.04	-3	BP4_-3
deletion	0.049	-2	BP4_-2
deletion	0.058	-2	BP4_-2
deletion	0.143	-2	BP4_-2
deletion	0.032	-3	BP4_-3
deletion	0.082	-2	BP4_-2
deletion	0.784	1	PP3_+1
deletion	0.468	0	No-evidence
deletion	0.687	0	No-evidence
deletion	0.592	0	No-evidence
deletion	0.662	0	No-evidence
deletion	0.752	1	PP3_+1
deletion	0.702	0	No-evidence
deletion	0.371	0	No-evidence
deletion	0.505	0	No-evidence
deletion	0.217	-2	BP4_-2
deletion	0.525	0	No-evidence
deletion	0.108	-2	BP4_-2
deletion	0.323	-1	BP4_-1
deletion	0.73	1	PP3_+1
deletion	0.978	3	PP3_+3
deletion	0.47	0	No-evidence
deletion	0.516	0	No-evidence
deletion	0.072	-2	BP4_-2
deletion	0.194	-2	BP4_-2
deletion	0.293	-1	BP4_-1
deletion	0.917	2	PP3_+2
deletion	0.569	0	No-evidence
deletion	0.924	2	PP3_+2
deletion	0.062	-2	BP4_-2
deletion	0.346	0	No-evidence
deletion	0.621	0	No-evidence
deletion	0.696	0	No-evidence
deletion	0.764	1	PP3_+1
deletion	0.752	1	PP3_+1
deletion	0.112	-2	BP4_-2
deletion	0.573	0	No-evidence
deletion	0.546	0	No-evidence
deletion	0.745	1	PP3_+1
deletion	0.729	1	PP3_+1
deletion	0.503	0	No-evidence
deletion	0.866	1	PP3_+1
deletion	0.706	0	No-evidence
deletion	0.958	3	PP3_+3
deletion	0.04	-3	BP4_-3
deletion	0.018	-4	BP4_-4
deletion	0.025	-4	BP4_-4
deletion	0.558	0	No-evidence
deletion	0.89	1	PP3_+1
deletion	0.945	2	PP3_+2
deletion	0.926	2	PP3_+2
deletion	0.954	2	PP3_+2
deletion	0.286	-1	BP4_-1
deletion	0.996	3	PP3_+3
deletion	0.675	0	No-evidence
deletion	0.743	1	PP3_+1
deletion	0.98	3	PP3_+3
deletion	0.98	3	PP3_+3
deletion	0.782	1	PP3_+1
deletion	0.803	1	PP3_+1
deletion	0.784	1	PP3_+1
deletion	0.459	0	No-evidence
deletion	0.045	-2	BP4_-2
deletion	0.891	1	PP3_+1
deletion	0.997	3	PP3_+3
deletion	0.103	-2	BP4_-2
deletion	0.137	-2	BP4_-2
deletion	0.038	-3	BP4_-3
deletion	0.239	-2	BP4_-2
deletion	0.904	1	PP3_+1
deletion	0.055	-2	BP4_-2
deletion	0.191	-2	BP4_-2
deletion	0.009	-4	BP4_-4
deletion	0.01	-4	BP4_-4
deletion	0.03	-3	BP4_-3
deletion	0.067	-2	BP4_-2
deletion	0.981	3	PP3_+3
deletion	0.943	2	PP3_+2
deletion	0.951	2	PP3_+2
deletion	0.921	2	PP3_+2
deletion	0.921	2	PP3_+2
deletion	0.716	0	No-evidence
deletion	0.561	0	No-evidence
deletion	0.887	1	PP3_+1
deletion	0.411	0	No-evidence
deletion	0.141	-2	BP4_-2
deletion	0.025	-4	BP4_-4
deletion	0.05	-2	BP4_-2
deletion	0.079	-2	BP4_-2
deletion	0.031	-3	BP4_-3
deletion	0.004	-4	BP4_-4
deletion	0.06	-2	BP4_-2
deletion	0.022	-4	BP4_-4
deletion	0.085	-2	BP4_-2
deletion	0.075	-2	BP4_-2
deletion	0.024	-4	BP4_-4
deletion	0.023	-4	BP4_-4
deletion	0.027	-3	BP4_-3
deletion	0.119	-2	BP4_-2
deletion	0.122	-2	BP4_-2
deletion	0.065	-2	BP4_-2
deletion	0.406	0	No-evidence
deletion	0.954	2	PP3_+2
deletion	0.938	2	PP3_+2
deletion	0.967	3	PP3_+3
deletion	0.842	1	PP3_+1
deletion	0.638	0	No-evidence
deletion	0.938	2	PP3_+2
deletion	0.97	3	PP3_+3
deletion	0.944	2	PP3_+2
deletion	0.783	1	PP3_+1
deletion	0.95	2	PP3_+2
deletion	0.647	0	No-evidence
deletion	0.986	3	PP3_+3
deletion	0.931	2	PP3_+2
deletion	0.907	1	PP3_+1
deletion	0.887	1	PP3_+1
deletion	0.275	-1	BP4_-1
deletion	0.85	1	PP3_+1
deletion	0.765	1	PP3_+1
deletion	0.896	1	PP3_+1
deletion	0.983	3	PP3_+3
deletion	0.968	3	PP3_+3
deletion	0.327	0	No-evidence
deletion	0.91	1	PP3_+1
deletion	0.907	1	PP3_+1
deletion	0.87	1	PP3_+1
deletion	0.851	1	PP3_+1
deletion	0.046	-2	BP4_-2
deletion	0.123	-2	BP4_-2
deletion	0.422	0	No-evidence
deletion	0.407	0	No-evidence
deletion	0.32	-1	BP4_-1
deletion	0.25	-2	BP4_-2
deletion	0.216	-2	BP4_-2
deletion	0.225	-2	BP4_-2
deletion	0.154	-2	BP4_-2
deletion	0.178	-2	BP4_-2
deletion	0.344	0	No-evidence
deletion	0.34	0	No-evidence
deletion	0.602	0	No-evidence
deletion	0.764	1	PP3_+1
deletion	0.157	-2	BP4_-2
deletion	0.418	0	No-evidence
deletion	0.279	-1	BP4_-1
deletion	0.972	3	PP3_+3
deletion	0.437	0	No-evidence
deletion	0.975	3	PP3_+3
deletion	0.857	1	PP3_+1
deletion	0.21	-2	BP4_-2
deletion	0.203	-2	BP4_-2
deletion	0.139	-2	BP4_-2
deletion	0.981	3	PP3_+3
deletion	0.879	1	PP3_+1
deletion	0.259	-1	BP4_-1
deletion	0.082	-2	BP4_-2
deletion	0.115	-2	BP4_-2
deletion	0.166	-2	BP4_-2
deletion	0.02	-4	BP4_-4
deletion	0.018	-4	BP4_-4
deletion	0.013	-4	BP4_-4
deletion	0.076	-2	BP4_-2
deletion	0.686	0	No-evidence
deletion	0.937	2	PP3_+2
deletion	0.838	1	PP3_+1
deletion	0.898	1	PP3_+1
deletion	0.986	3	PP3_+3
deletion	0.617	0	No-evidence
deletion	0.112	-2	BP4_-2
deletion	0.104	-2	BP4_-2
deletion	0.1	-2	BP4_-2
deletion	0.026	-4	BP4_-4
deletion	0.049	-2	BP4_-2
deletion	0.025	-4	BP4_-4
deletion	0.031	-3	BP4_-3
deletion	0.013	-4	BP4_-4
deletion	0.055	-2	BP4_-2
deletion	0.815	1	PP3_+1
deletion	0.462	0	No-evidence
deletion	0.932	2	PP3_+2
deletion	0.978	3	PP3_+3
deletion	0.818	1	PP3_+1
deletion	0.675	0	No-evidence
deletion	0.889	1	PP3_+1
deletion	0.491	0	No-evidence
deletion	0.833	1	PP3_+1
deletion	0.765	1	PP3_+1
deletion	0.993	3	PP3_+3
deletion	0.124	-2	BP4_-2
deletion	0.183	-2	BP4_-2
deletion	0.016	-4	BP4_-4
deletion	0.931	2	PP3_+2
deletion	0.683	0	No-evidence
deletion	0.708	0	No-evidence
deletion	0.899	1	PP3_+1
deletion	0.819	1	PP3_+1
deletion	0.909	1	PP3_+1
deletion	0.863	1	PP3_+1
deletion	0.966	3	PP3_+3
deletion	0.965	3	PP3_+3
deletion	0.264	-1	BP4_-1
deletion	0.865	1	PP3_+1
deletion	0.955	2	PP3_+2
deletion	0.92	2	PP3_+2
deletion	0.837	1	PP3_+1
deletion	0.889	1	PP3_+1
deletion	0.907	1	PP3_+1
deletion	0.392	0	No-evidence
deletion	0.205	-2	BP4_-2
deletion	0.88	1	PP3_+1
deletion	0.411	0	No-evidence
deletion	0.761	1	PP3_+1
deletion	0.048	-2	BP4_-2
deletion	0.103	-2	BP4_-2
deletion	0.093	-2	BP4_-2
deletion	0.981	3	PP3_+3
deletion	0.975	3	PP3_+3
deletion	0.952	2	PP3_+2
deletion	0.96	3	PP3_+3
deletion	0.893	1	PP3_+1
deletion	0.909	1	PP3_+1
deletion	0.947	2	PP3_+2
deletion	0.118	-2	BP4_-2
deletion	0.877	1	PP3_+1
deletion	0.236	-2	BP4_-2
deletion	0.805	1	PP3_+1
deletion	0.747	1	PP3_+1
deletion	0.624	0	No-evidence
deletion	0.912	1	PP3_+1
deletion	0.129	-2	BP4_-2
deletion	0.992	3	PP3_+3
deletion	0.571	0	No-evidence
deletion	0.2	-2	BP4_-2
deletion	0.961	3	PP3_+3
deletion	0.807	1	PP3_+1
deletion	0.244	-2	BP4_-2
deletion	0.25	-2	BP4_-2
deletion	0.254	-2	BP4_-2
deletion	0.215	-2	BP4_-2
deletion	0.116	-2	BP4_-2
deletion	0.265	-1	BP4_-1
deletion	0.536	0	No-evidence
deletion	0.528	0	No-evidence
deletion	0.523	0	No-evidence
deletion	0.288	-1	BP4_-1
deletion	0.02	-4	BP4_-4
deletion	0.022	-4	BP4_-4
deletion	0.438	0	No-evidence
deletion	0.888	1	PP3_+1
deletion	0.972	3	PP3_+3
deletion	0.896	1	PP3_+1
deletion	0.723	0	No-evidence
deletion	0.174	-2	BP4_-2
deletion	0.068	-2	BP4_-2
deletion	0.074	-2	BP4_-2
deletion	0.151	-2	BP4_-2
deletion	0.414	0	No-evidence
deletion	0.097	-2	BP4_-2
deletion	0.791	1	PP3_+1
deletion	0.328	0	No-evidence
deletion	0.176	-2	BP4_-2
deletion	0.226	-2	BP4_-2
deletion	0.284	-1	BP4_-1
deletion	0.271	-1	BP4_-1
deletion	0.667	0	No-evidence
deletion	0.037	-3	BP4_-3
deletion	0.019	-4	BP4_-4
deletion	0.184	-2	BP4_-2
deletion	0.213	-2	BP4_-2
deletion	0.4	0	No-evidence
deletion	0.891	1	PP3_+1
deletion	0.974	3	PP3_+3
deletion	0.956	2	PP3_+2
deletion	0.299	-1	BP4_-1
deletion	0.076	-2	BP4_-2
deletion	0.163	-2	BP4_-2
deletion	0.245	-2	BP4_-2
deletion	0.191	-2	BP4_-2
deletion	0.07	-2	BP4_-2
deletion	0.098	-2	BP4_-2
deletion	0.816	1	PP3_+1
deletion	0.896	1	PP3_+1
deletion	0.788	1	PP3_+1
deletion	0.851	1	PP3_+1
deletion	0.066	-2	BP4_-2
deletion	0.084	-2	BP4_-2
deletion	0.069	-2	BP4_-2
deletion	0.075	-2	BP4_-2
